hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
ACHARYA SHRI CHANDER COLLEGE OF MEDICAL SCIENCES AND HOSPITAL,Private,"N.H BY PASS SIDHRA, JAMMU, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Budget/Local
UJALA CYGNUS JK MEDICITY,Private,"NARWAL BYE PASS ROAD JAMMU, Jammu and Kashmir",PMJAY,4.1,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Budget/Local
Noora Hospital,Private,"Umer Abad, Srinagar, Jammu and Kashmir","PMJAY,Care Health,HDFC,ICICI Lombard",4.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Established
Orthopaedics,Private,"opp. JRC Home Udheywala, bohri, Jammu, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery,City 1,Budget/Local
ORTHOPAEDICS,Private,"681/C SAHADATPURA, MAU, UTTER PRADESH, Uttar Pradesh",PMJAY,0.0,Orthopedics,City 2,Budget/Local
ORTHOPAEDICS,Private,"Aasaram nagar Yawal road, Maharashtra",PMJAY,0.0,Orthopedics; General Surgery; Neurology; Urology,Town 2,Budget/Local
Government Hospital Gandhi Nagar Jammu,Government,"Govt Hospital Gandhi Nagar Jammu, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
GMC UDHAMPUR,Government,"DHAR ROAD SAILLAN TALAB UDHAMPUR, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
AHGMC DODA,Government,"Near CMO Office, Doda, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Associated Hospital GMC Kathua,Government,"National Highway Kalibari Kathua, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
GMC Rajouri,Government,"KHEORA/MEHRA, RAJOURI, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
CHC Hiranagar,Government,"near by Higher Secondary School Hiranagar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
District Hospital Samba,Government,"District hospital samba, samba, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
DH Reasi,Government,"Mari, Reasi, aghar ballian reasi, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
DH KISHTWAR,Government,"NEAR POLICE STATION KISHTWAR, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
GOVERNMENT HOSPITAL SARWAL JAMMU,Government,"sARWAL CHOWK, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Parole,Government,"Near Palli Road, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; Neurology; Oncology; Urology,City 1,Government
Ramgarh,Government,"Near Gurduwara, Ramgarh, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Government
NATIONAL HOSPITAL,Private,"NATIONAL HOSPITAL NEAR ST PETER SCHOOL, AIRPORT ROAD KARAN BAGH, SATWARI JAMMU, Jammu and Kashmir","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Oncology,City 1,Established
NATIONAL HOSPITAL,Private,"DHANI GARAN ROAD BARWALA, Haryana",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Town 2,Budget/Local
NATIONAL HOSPITAL,Private,"NEAR BAJAJ SHOW ROOM AJMER ROAD DUDU JAIPUR, Rajasthan",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 1,Budget/Local
National Hospital,Private,"National Hospital, Khoa Gali, Golghar, Uttar Pradesh","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Orthopedics,Town 2,Established
NATIONAL HOSPITAL,Private,"703, GOL BAZAR, DUTTA MANDIR ROAD, Madhya Pradesh","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Established
NATIONAL HOSPITAL,Private,"National Hospital, Indira Gandhi Road, Kozhikode, Kerala","PMJAY,Care Health,Star Health,HDFC,ICICI Lombard,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Gynecology; Urology,City 1,Premium
National Hospital,Private,"Sahajanand Chowk Kala Talav Agra Road Near Kali Masjid, Kalyan, Thane, Maharashtra, 421301",Care Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Metro 1,Established
National Hospital,Private,"Hazaribag Road Barkagaon Near Ntpc Office, Barkagaon, Jharkhand, 825311",Care Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Established
JLNM Hospital Srinagar,Government,"Rainawari Srinagar, Main Chowk, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
EMERGENCY HOSPITAL VIJAYPUR,Government,"Main chowk vijaypur NH1A, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Ramban,Government,"RAMBAN near Police station, court road Ramban, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Sohanjana,Government,"Main Bus stand Sohanajana Jammu, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC Bishnah,Government,"CHC BISHNAH, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC R.S.PURA,Government,"CHC RS PURA NEAR BUS STAND, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Basholi,Government,"Near Convent School, near convent school, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; Neurology; Oncology; Gynecology; Urology,City 1,Government
Bani,Government,"Near foot bridge, near foot bridge, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Urology,City 1,Government
Billawar,Government,"NEAR ADC RESIDENTIAL QUARTERS, BILLAWAR, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Gousia Hospital Khanyar,Government,"Near Police Station Khanayar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
DH shopian,Government,"Malik mohallah, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
GMC Baramulla,Government,"Kanth Bagh, Baramulla, Kanth Bagh Baramulla, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
